ages,depths_real
1048,49.87376
1049,49.91106
1050,49.94836
1051,49.98566
1052,50.02296
1053,50.06026
1054,50.09756
1055,50.13486
1056,50.17216
1057,50.2094
1058,50.2464
1059,50.2834
1060,50.3204
1061,50.3574
1062,50.3944
1063,50.4314
1064,50.4684
1065,50.5054
1066,50.5424
1067,50.57942
1068,50.61652
1069,50.65362
1070,50.69072
1071,50.72782
1072,50.76492
1073,50.80202
1074,50.83912
1075,50.87622
1076,50.91332
1077,50.95054
1078,50.98824
1079,51.02594
1080,51.06364
1081,51.10134
1082,51.13904
1083,51.17674
1084,51.21444
1085,51.25214
1086,51.28984
1087,51.32844
1088,51.37064
1089,51.41284
1090,51.45504
1091,51.49724
1092,51.53944
1093,51.58164
1094,51.62384
1095,51.66604
1096,51.70824
1097,51.75062
1098,51.79372
1099,51.83682
1100,51.87992
1101,51.92302
1102,51.96612
1103,52.00922
1104,52.05232
1105,52.09542
1106,52.13852
1107,52.1814
1108,52.2234
1109,52.2654
1110,52.3074
1111,52.3494
1112,52.3914
1113,52.4334
1114,52.4754
1115,52.5174
1116,52.5594
1117,52.60122
1118,52.64232
1119,52.68342
1120,52.72452
1121,52.76562
1122,52.80672
1123,52.84782
1124,52.88892
1125,52.93002
1126,52.97112
1127,53.01212
1128,53.05272
1129,53.09332
1130,53.13392
1131,53.17452
1132,53.21512
1133,53.25572
1134,53.29632
1135,53.33692
1136,53.37752
1137,53.41762
1138,53.45572
1139,53.49382
1140,53.53192
1141,53.57002
1142,53.60812
1143,53.64622
1144,53.68432
1145,53.72242
1146,53.76052
1147,53.79806
1148,53.83336
1149,53.86866
1150,53.90396
1151,53.93926
1152,53.97456
1153,54.00986
1154,54.04516
1155,54.08046
1156,54.11576
1157,54.15074
1158,54.18444
1159,54.21814
1160,54.25184
1161,54.28554
1162,54.31924
1163,54.35294
1164,54.38664
1165,54.42034
1166,54.45404
1167,54.48772
1168,54.52132
1169,54.55492
1170,54.58852
1171,54.62212
1172,54.65572
1173,54.68932
1174,54.72292
1175,54.75652
1176,54.79012
1177,54.8238
1178,54.8578
1179,54.8918
1180,54.9258
1181,54.9598
1182,54.9938
1183,55.0278
1184,55.0618
1185,55.0958
1186,55.1298
1187,55.16408
1188,55.19948
1189,55.23488
1190,55.27028
1191,55.30568
1192,55.34108
1193,55.37648
1194,55.41188
1195,55.44728
1196,55.48268
1197,55.51826
1198,55.55456
1199,55.59086
1200,55.62716
1201,55.66346
1202,55.69976
1203,55.73606
1204,55.77236
1205,55.80866
1206,55.84496
1207,55.8814
1208,55.9184
1209,55.9554
1210,55.9924
1211,56.0294
1212,56.0664
1213,56.1034
1214,56.1404
1215,56.1774
1216,56.2144
1217,56.25152
1218,56.28912
1219,56.32672
1220,56.36432
1221,56.40192
1222,56.43952
1223,56.47712
1224,56.51472
1225,56.55232
1226,56.58992
1227,56.62758
1228,56.66548
1229,56.70338
1230,56.74128
1231,56.77918
1232,56.81708
1233,56.85498
1234,56.89288
1235,56.93078
1236,56.96868
1237,57.0066
1238,57.0446
1239,57.0826
1240,57.1206
1241,57.1586
1242,57.1966
1243,57.2346
1244,57.2726
1245,57.3106
1246,57.3486
1247,57.38656
1248,57.42436
1249,57.46216
1250,57.49996
1251,57.53776
1252,57.57556
1253,57.61336
1254,57.65116
1255,57.68896
1256,57.72676
1257,57.76454
1258,57.80224
1259,57.83994
1260,57.87764
1261,57.91534
1262,57.95304
1263,57.99074
1264,58.02844
1265,58.06614
1266,58.10384
1267,58.14154
1268,58.17924
1269,58.21694
1270,58.25464
1271,58.29234
1272,58.33004
1273,58.36774
1274,58.40544
1275,58.44314
1276,58.48084
1277,58.51854
1278,58.55624
1279,58.59394
1280,58.63164
1281,58.66934
1282,58.70704
